account,full_name,title,domain,where
Centene,Michael Grover,Chief Operating Officer - Centene Dental and Vision,centene.com,second pass
Centene,Rayshawn Clay,Chief Operating Officer Health Plan,centene.com,second pass
Centene,Sherilyn (Spiller) Fahlstrom,"Chief Operating Officer, Sunflower Health Plan",centene.com,second pass
Centene,Terry Weathers,Chief Financial Officer,centene.com,second pass
Centene,William Kruegel,Chief Operating Officer - Sunshine Health,centene.com,second pass
Centene,Cathie Krueger,VP of Utilization Management,centene.com,second pass
Centene,Corina B.,Vice President Utilization Management,centene.com,second pass
Centene,Kim Newton,"Vice President, Clinical Operations",centene.com,second pass
Centene,Kristine (Krissy) Ziegler,"Vice President, Clinical Operations",centene.com,second pass
Centene,"Laura Sulak Futo MA, LPC","Vice President, Clinical Operations",centene.com,second pass
Centene,Mika Runyan,Vice President Payment Integrity,centene.com,second pass
Centene,Agnes P.,Vice President Operations,centene.com,second pass
Centene,Amanda Crannell,"Director, Utilization Management",centene.com,second pass
Centene,Chad Hosegood,Director of WFM - Claims,centene.com,second pass
Centene,Connie Clem,"Director, Payment Integrity",centene.com,second pass
Centene,Corey Shaw,"Senior Director, Claims Experience",centene.com,second pass
Centene,Cortney Jones,Senior Director Clinical Operations,centene.com,second pass
Centene,Cory Dial,Director of Operations (Medicare Operations & Implementations),centene.com,second pass
Fidelity Investments,Mary Relihan,SVP Head of Fund Operations,fidelity.com,second pass
Fidelity Investments,Lisa Barnum-Williams,Senior Vice President Operations,fidelity.com,second pass
Fidelity Investments,Michelle Bowen,Senior Vice President and COO,fidelity.com,second pass
Fidelity Investments,Amy Malatesta,"Vice President, Client Service Operations",fidelity.com,second pass
Fidelity Investments,Annie Wong,Head of Fund Operations,fidelity.com,second pass
Fidelity Investments,Brian Ciofrone,"Vice President, Trading Operations",fidelity.com,second pass
Fidelity Investments,Clint Brandner,Head of Brokerage Operations,fidelity.com,second pass
Fidelity Investments,Danielle Deja,"Head of Implementation, Client Service Management and Operations",fidelity.com,second pass
Fidelity Investments,Dyann Kiessling,Head of Global Bond Trading Operations,fidelity.com,second pass
Fidelity Investments,Emris Varghese,Head of Shared Services,fidelity.com,second pass
Fidelity Investments,Frank Hedglin,Vice President - Securities Lending Operations,fidelity.com,second pass
Fidelity Investments,Jamie Andrea,Head of Client Services & Operations,fidelity.com,second pass
Fidelity Investments,Andre Alexander,"Director, Brokerage Operations",fidelity.com,second pass
Fidelity Investments,Chris Tremblay,"Director, Global Workforce Optimization - Workplace Investing",fidelity.com,second pass
Fidelity Investments,Claribel Made’,Director of Brokerage Operations,fidelity.com,second pass
Fidelity Investments,"Daniel Saxon, CFA",Director - Fund Operations | Pricing,fidelity.com,second pass
Fidelity Investments,Daria Brazile,Director of Business & People Operations,fidelity.com,second pass
Fidelity Investments,Daria Siegelman Brazile,Director of Business & People Operations,fidelity.com,second pass
National Grid,Jeffrey Poor,Director Meter Data Services,nationalgridus.com,second pass
National Grid,Joe Weber,"Director, Claims",nationalgridus.com,second pass
National Grid,"Ryan Dinneen, CSP","Director, Absence Management",nationalgridus.com,second pass
National Grid,Stephen DeRosa,Procurement Director,nationalgridus.com,second pass
National Grid,Tess Overdyk,"Director, Absence & Disability Management",nationalgridus.com,second pass
Truist,Heather Wingo,"SVP, Strategic Workforce Planning Strategist",truist.com,second pass
Truist,"Jennifer Cline, GPHR","SVP, Strategic Workforce Planning",truist.com,second pass
Truist,John W Feldmann,Mortgage Servicing Rights Quantitative Senior Vice President,truist.com,second pass
Truist,Renee Franck,"SVP, Head of Consumer Indirect Lending Operations",truist.com,second pass
Truist,Shayna Rendenna,Product Owner | Banking Operations Group Manager | Senior Vice President,truist.com,second pass
Truist,Tony Wilkinson,SVP - Application Configuration and Operations Manager,truist.com,second pass
Truist,"Trenice Wade, MA",SVP - Workforce Management and Engagement Strategist,truist.com,second pass
Truist,Christopher Rees,Senior Vice President Operations,truist.com,second pass
Truist,Dawn Adamson,Senior Vice President - Media Agency Operations,truist.com,second pass
Truist,Edward Goudy,"Senior Vice President, Image Services Sr. Operations Manager",truist.com,second pass
Truist,Emily Walker,"Senior Operations Manager, SVP",truist.com,second pass
Truist,Erick Hines,Senior Vice President Operations,truist.com,second pass
Truist,"Shannon Vanderhill, MFA","Design Director I, Director of Sprint Studio, Shared Services & Business Office",truist.com,second pass
Regions Financial,Erical D. Booker,Payment Operations Manager- VP,regions.com,second pass
Regions Financial,Jeff Keyseear,"Loan Operations Manager, Vice President",regions.com,second pass
Regions Financial,Linda Banks,"Vice President, Manager Active Collections",regions.com,second pass
Regions Financial,Ron Richardson,VP Mgr Collections MIS,regions.com,second pass
Regions Financial,Sarvjeet Kaur,Vice President-Business Systems Manager,regions.com,second pass
Regions Financial,Scott Gust,Head of Commercial Lending Operations,regions.com,second pass
Regions Financial,Shonda Duffey,Head of Regions Business Capital Loan Operations,regions.com,second pass
Regions Financial,Ej Atkins,"Senior Operations Director, Vice President",regions.com,second pass
Regions Financial,James Dempsey,Corporate Trust Operations Manager VP,regions.com,second pass
Regions Financial,Jane Sebeck,Vice President - Operations,regions.com,second pass
Regions Financial,Judy Burton,"Vice President, Little Rock Operations Manager",regions.com,second pass
Regions Financial,Kevin LoPresto,Head of Optimization - Enterprise Operations,regions.com,second pass
Regions Financial,Brad Raines,"Director, Credit Products Administration Operational Excellence",regions.com,second pass
